branch,tensor,numel,mean_angular_step,final_cumulative_angular_step
linear_down,blocks.5.mlp.fc1.weight,147456,0.003884165419664719,3.3986447422066703
linear_down,blocks.5.mlp.fc2.bias,192,0.006135288350417095,5.3683773066150025
linear_down,blocks.5.mlp.fc2.weight,147456,0.004430501146641108,3.876688503311016
linear_down,blocks.6.attn.proj.bias,192,0.00612731451288393,5.361400198773481
linear_down,blocks.6.attn.proj.weight,36864,0.0038402851070276937,3.360249468649272
linear_down,blocks.6.attn.qkv.bias,576,0.004299851852302785,3.762370370764984
linear_down,blocks.6.attn.qkv.weight,110592,0.004119398737392732,3.604473895218689
linear_down,blocks.6.mlp.fc1.bias,768,0.003551919391644799,3.107929467689246
linear_down,blocks.6.mlp.fc1.weight,147456,0.003834606468411384,3.35528065986
linear_down,blocks.6.mlp.fc2.bias,192,0.005718307421210037,5.003518993558828
linear_down,blocks.6.mlp.fc2.weight,147456,0.004389440793544001,3.8407606943510473
linear_down,blocks.7.attn.proj.bias,192,0.005258954913821018,4.6015855495934375
linear_down,blocks.7.attn.proj.weight,36864,0.0038953184384985236,3.408403633686248
linear_down,blocks.7.attn.qkv.bias,576,0.006180446934553614,5.407891067734454
linear_down,blocks.7.attn.qkv.weight,110592,0.004132889033893867,3.616277904657181
linear_down,blocks.7.mlp.fc1.bias,768,0.0035952268306364958,3.145823476806981
linear_down,blocks.7.mlp.fc1.weight,147456,0.003826448779486605,3.3481426820508204
linear_down,blocks.7.mlp.fc2.bias,192,0.005034556576250335,4.405237004219089
linear_down,blocks.7.mlp.fc2.weight,147456,0.00440709576409837,3.85620879358612
linear_down,blocks.8.attn.proj.bias,192,0.004893172778255651,4.281526180973742
linear_down,blocks.8.attn.proj.weight,36864,0.004101271004482516,3.58861212892225
linear_down,blocks.8.attn.qkv.bias,576,0.003789772636722721,3.316051057132426
linear_down,blocks.8.attn.qkv.weight,110592,0.00400662938814738,3.505800714629004
linear_down,blocks.8.mlp.fc1.bias,768,0.003396884812308151,2.972274210769683
linear_down,blocks.8.mlp.fc1.weight,147456,0.003679282697117172,3.219372359977569
linear_down,blocks.8.mlp.fc2.bias,192,0.004540112262092742,3.972598229331197
linear_down,blocks.8.mlp.fc2.weight,147456,0.004229409699261665,3.7007334868540056
linear_down,blocks.9.attn.proj.bias,192,0.004460537929220868,3.902970688068308
linear_down,blocks.9.attn.proj.weight,36864,0.004109343540289249,3.595675597753143
linear_down,blocks.9.attn.qkv.bias,576,0.006694584473402058,5.857761414226843
linear_down,blocks.9.attn.qkv.weight,110592,0.004090349383253017,3.579055710346438
linear_down,blocks.9.mlp.fc1.bias,768,0.003104031243361481,2.716027337941341
linear_down,blocks.9.mlp.fc1.weight,147456,0.003714139715502257,3.2498722510645166
linear_down,blocks.9.mlp.fc2.bias,192,0.004244586209766515,3.714012933545746
linear_down,blocks.9.mlp.fc2.weight,147456,0.004266843579709476,3.733488132245839
linear_down,cls_token,192,0.0028959131810946657,2.533924033457879
linear_down,patch_embed.proj.bias,192,0.0012445444763704097,1.0889764168241527
linear_down,patch_embed.proj.weight,36864,0.0032595033841207087,2.852065461105667
linear_down,pos_embed,12480,0.0015155881525216355,1.326139633456478
linear_up,blocks.0.attn.proj.bias,192,0.00320273512339081,2.802393232967006
linear_up,blocks.0.attn.proj.weight,36864,0.004345313674969812,3.802149465598632
linear_up,blocks.0.attn.qkv.bias,576,0.0016100926727521695,1.4088310886581894
linear_up,blocks.0.attn.qkv.weight,110592,0.004720416991106573,4.130364867218304
